GTIN,SKU,Product_Name,Price
84513140,NOZPZG6D,Sonoma,17380
69342672,6OV3P2XD,Esteem,1425
90418134,EP8KNNRU,Fairlane,85664
20085641,INTOV8M0,Safari,70101
27504392,46VU27YG,Commander,49803
20866431,2U5EER05,H1,39215
82087042,CVA9VTBW,JUKE,19246
64844641,XJTDCLKB,MKX,85804
62385777,TFSUBGE9,Ram Van 3500,3181
51184699,NDESJ4OE,Tiguan,47898
73874490,E2HXQUEV,7 Series,97419
80695550,KUXVC7NH,Cayman,52278
59179571,VSI3UQU4,SRX,92208
30121559,870ZQ6XK,Equus,63420
54379391,FFGF3XOO,Savana 2500,22413
94824102,S3Z1VDNK,Colt,79232
26997259,WIQHXN6D,Sedona,76789
38259472,DLL25T71,Dakota Club,48900
76929031,7O4G6UAE,Thunderbird,87962
59402833,NNRCWVGO,Classic,71465
51727712,XRDHTMPF,Yukon XL 2500,47712
23744118,RLBHLNVR,Skylark,53460
31599900,3VCVLDH1,Riviera,95692
99865804,RUNEPQRQ,SLK55 AMG,87522
56240121,3EO2N5LS,JUKE,62856
61702872,XOD0O8A9,Miata MX-5,87084
13847964,15QRGQ1W,M-Class,20104
13924215,6N8OZU3T,Prelude,59559
22910449,9Z3T0OCO,911,33086
26072313,EV9MYF02,Thunderbird,79113
47520327,J1WZ9I23,Previa,88145
71241088,OECH7ZST,Frontier,72126
77729357,25JB61NI,Gemini,18621
77282413,M0UXWXQP,Dakota Club,23228
61923472,2OV9KXW3,X6,88373
66705840,6LFTR0ZV,A3,58316
31237321,FMMWOPMU,Optima,90514
78584648,KUDVSEY4,3500 Club Coupe,10337
66413057,ZYQQNA77,Yaris,64408
89699094,RFXEPV9F,RL,44848
60524592,EE40WVSG,Diablo,8211
84681124,M19ZB5VI,Mustang,99758
69898945,2NDB5R2A,VUE,90892
48599964,4RWVMTYX,LTD Crown Victoria,5359
99191087,3T6P0HGW,S10,30506
62320653,VV69O6WR,Yukon XL 2500,80539
21086194,85LR6VSO,Continental GT,53254
40329931,1T70H6M4,SRX,8349
60009026,IW3ICI5O,E-Series,16534
81302517,48KE3BBQ,Liberty,99054
36628558,OWY9CLTH,Yukon XL 2500,10394
44235569,KSKWAQFF,SLX,71533
14927014,J4JYBVB5,Sundance,29653
23357474,H62J0URZ,Mustang,85889
72758874,FGB9UGT9,CT,16442
96769416,0Q7HN48Z,Wrangler,46198
75330221,4UWEXLRW,Montero Sport,13231
